year,valid,n_trades,pnl,sharpe,sortino,pf,win_rate,max_dd,max_dd_pct,final_eq,expectancy_R
2019,True,1132,2413.8755102417454,1.857524477734214,6.479890625422085,1.2855642053859522,29.858657243816257,-884.8716475142974,-11.872570542165327,7413.87551024173,-0.26172996024529627
2020,True,1137,13129.919306659856,4.597957937531676,16.70018743651447,2.0768159642082167,36.93931398416886,-321.07815865416705,-1.7733090337720976,18106.15930665988,0.2829146654440912
2021,True,1130,6587.389443552016,4.579267816654831,12.54465364164076,1.634041105876934,34.690265486725664,-509.94339291307915,-4.400847968364816,11587.389443552041,0.21921165785510796
2022,True,1075,7639.396092548621,4.0424814719678634,10.110525617531843,1.6550289927405288,33.30232558139535,-716.0103747407793,-5.664909695827123,12639.396092548584,0.23964279363376956
2023,True,1092,8701.154005085156,4.711878267776939,11.014187267468504,1.88069020046954,35.07326007326007,-679.1518778263671,-4.935225499362941,13701.154005085158,0.3238707523367933
2024,True,1065,13582.04329422349,6.0724330646628895,19.839781721394534,2.087029868419077,39.248826291079816,-445.37510929763084,-2.3956331322702558,18582.043294223382,0.3769252477703277
2025,True,1104,30720.267603486845,7.0648443457822045,15.823057758012006,2.428306740207623,40.21739130434783,-1093.7200000000666,-3.0512318616470986,35687.50760348659,0.41650118445520923
2026,True,409,25642.977616526347,7.280214382860326,19.236274671938673,2.197433883189617,40.831295843520785,-1529.7199999999757,-4.960635564715792,30642.97761652622,0.5101662283799789
