walk,train_start,train_end,test_end,best_params,valid,n_trades,pnl,sharpe,sortino,pf,win_rate,max_dd,max_dd_pct,final_eq,expectancy_R
1,2019-01-01,2021-01-01,2021-07-01,adx10_ema8-21_atr4.0_stop1.0,True,717,4858.381663869848,5.801687984584039,15.911063163328404,1.775205426602409,36.26220362622036,-352.00000000005,-3.5666603104586887,9799.621663869848,0.14699043377168244
2,2019-07-01,2021-07-01,2022-01-01,adx10_ema8-21_atr4.0_stop2.0,True,722,4129.33556142432,5.628737352228959,15.772036883637893,1.71844713297469,33.51800554016621,-402.6536185193563,-4.410546811541845,9129.335561424323,0.1530258816442872
3,2020-01-01,2022-01-01,2022-07-01,adx10_ema8-21_atr4.0_stop2.0,True,711,5408.112263469258,4.9678514227773,15.123662354388365,1.7705962744408494,34.458509142053444,-297.59474331515685,-2.799081252487216,10408.112263469244,0.1447533112500312
4,2020-07-01,2022-07-01,2023-01-01,adx10_ema8-21_atr4.0_stop2.0,True,707,5806.05689221208,5.391828044353663,12.724355782997826,1.9429606613478678,36.35077793493635,-345.717391713888,-3.199292722242154,10806.056892212087,0.21123867815532085
5,2021-01-01,2023-01-01,2023-07-01,adx10_ema8-21_atr4.0_stop2.0,True,687,6440.987844820333,6.199862503735366,12.239925998699292,2.0678858504119124,36.681222707423586,-849.3453006094314,-7.362458149359186,11440.987844820334,0.21753359567551517
6,2021-07-01,2023-07-01,2024-01-01,adx10_ema8-21_atr4.0_stop2.0,True,728,4683.397418270712,3.6600175365555287,20.847781743626975,1.861247534859483,31.868131868131865,-702.0512470891617,-7.203808022032429,9683.397418270695,0.23458138156628153
7,2022-01-01,2024-01-01,2024-07-01,adx10_ema9-21_atr4.0_stop2.0,True,661,9246.79052098357,8.072466434020281,26.26175494112477,2.4565798474610543,39.03177004538578,-295.92000000002554,-2.0695746169229343,14246.790520983555,0.3054825270345725
8,2022-07-01,2024-07-01,2025-01-01,adx10_ema8-21_atr4.0_stop0.5,True,734,9998.121573898288,5.952435040175168,28.067289639845264,2.2854363071541606,42.50681198910082,-391.80000000007567,-2.612327137565946,14998.12157389821,0.24529166213587267
9,2023-01-01,2025-01-01,2025-07-01,adx10_ema8-21_atr4.0_stop0.5,True,651,16022.497366320566,8.461981239068205,17.53455569880044,2.4515994592477157,43.31797235023041,-1178.8400000000547,-5.439386420712411,20874.737366320514,0.3008436524847951
10,2023-07-01,2025-07-01,2026-01-01,adx14_ema8-21_atr4.0_stop2.0,True,600,19463.61578264567,8.424207169308561,26.28237300651628,2.7527171436201963,40.666666666666664,-616.8800000000156,-2.5099833171864696,24430.85578264558,0.30136767658444447
