run_label,trade_id,instrument,signal,timeframe,entry_time,exit_time,entry_price,exit_price,stop_price,exit_reason,pnl_points,pnl_dollars,contracts,is_winner,mfe_r,mae_r,mfe_points,mae_points
MGC,1,MGC,EMA_LONG,5min,2019-01-02 03:06:00-05:00,2019-01-02 03:16:00-05:00,616.7499999999994,616.1499999999995,615.1642444400663,CROSS_EXIT,-0.599999999999909,-7.239999999999091,1,False,0.3468378190793005,0.3468378190793005,0.5500000000000682,0.5500000000000682
MGC,2,MGC,EMA_LONG,5min,2019-01-02 03:36:00-05:00,2019-01-02 06:23:00-05:00,615.8499999999993,617.7499999999994,614.7429011085823,CROSS_EXIT,1.900000000000091,17.76000000000091,1,True,3.3872312844610764,0.22581541896396223,3.7500000000001137,0.2499999999998863
MGC,3,MGC,EMA_LONG,5min,2019-01-02 10:16:00-05:00,2019-01-02 11:41:00-05:00,616.1499999999995,614.0499999999994,612.9936633047208,CROSS_EXIT,-2.1000000000001364,-22.240000000001363,1,False,0.681169408579251,0.7128517066527481,2.1499999999999773,2.2500000000001137
MGC,4,MGC,EMA_LONG,5min,2019-01-02 12:16:00-05:00,2019-01-02 12:21:00-05:00,617.2499999999994,616.4499999999995,613.9421826661887,CROSS_EXIT,-0.7999999999999545,-9.239999999999545,1,False,0.0,0.2871984466280983,0.0,0.9499999999999318
MGC,5,MGC,EMA_LONG,5min,2019-01-02 15:46:00-05:00,2019-01-02 22:33:00-05:00,612.5499999999994,618.2499999999994,611.3365648172183,CROSS_EXIT,5.7000000000000455,55.76000000000045,1,True,6.7988798388820015,0.20602666178420656,8.250000000000114,0.2499999999998863
MGC,6,MGC,EMA_LONG,5min,2019-01-02 23:42:00-05:00,2019-01-03 02:41:00-05:00,619.1499999999995,620.2499999999994,617.9999999999995,CROSS_EXIT,1.099999999999909,9.75999999999909,1,True,3.260869565217357,0.8260869565218939,3.7499999999998863,0.9500000000001592
MGC,7,MGC,EMA_LONG,5min,2019-01-03 07:21:00-05:00,2019-01-03 08:15:00-05:00,619.2499999999994,616.9788100975992,617.1288100975992,STOP,-2.2711899024002378,-23.951899024002376,1,False,0.16500172832426535,1.29644215111909,0.35000000000002274,2.7499999999998863
MGC,8,MGC,EMA_LONG,5min,2019-01-03 08:36:00-05:00,2019-01-03 09:11:00-05:00,619.4499999999995,618.0499999999994,617.1055788701449,CROSS_EXIT,-1.400000000000091,-15.24000000000091,1,False,0.5331806577248404,0.6184895629608419,1.2499999999998863,1.4499999999999318
MGC,9,MGC,EMA_LONG,5min,2019-01-03 09:31:00-05:00,2019-01-03 11:51:00-05:00,618.6499999999995,619.0499999999994,616.6105752200737,CROSS_EXIT,0.3999999999998636,2.7599999999986355,1,True,1.5445531656796287,0.4167841875643584,3.1499999999999773,0.8500000000000227
MGC,10,MGC,EMA_LONG,5min,2019-01-03 18:36:00-05:00,2019-01-03 22:01:00-05:00,624.9499999999995,626.7499999999994,623.9096333969883,CROSS_EXIT,1.7999999999999545,16.759999999999547,1,True,3.988978488917648,0.24029990897105324,4.149999999999977,0.2500000000001137
MGC,11,MGC,EMA_LONG,5min,2019-01-04 00:42:00-05:00,2019-01-04 01:27:00-05:00,626.2499999999994,625.0400742318814,625.1900742318813,STOP,-1.2099257681180688,-13.339257681180689,1,False,0.330211804003455,1.0849816417255458,0.35000000000002274,1.1499999999999773
MGC,12,MGC,EMA_LONG,5min,2019-01-04 02:56:00-05:00,2019-01-04 03:32:00-05:00,625.3499999999993,624.2499999999994,623.967954323858,CROSS_EXIT,-1.099999999999909,-12.23999999999909,1,False,0.25324778047655244,0.9044563588446892,0.35000000000002274,1.2499999999998863
MGC,13,MGC,EMA_LONG,5min,2019-01-04 06:21:00-05:00,2019-01-04 07:21:00-05:00,621.9499999999995,621.2499999999994,620.5897315398786,CROSS_EXIT,-0.7000000000000455,-8.240000000000455,1,False,0.404331950732128,0.6983915512644481,0.5500000000000682,0.9499999999999318
MGC,14,MGC,EMA_LONG,5min,2019-01-04 08:02:00-05:00,2019-01-04 08:16:00-05:00,621.8499999999993,620.6499999999995,620.5556906777066,CROSS_EXIT,-1.199999999999818,-13.239999999998181,1,False,0.11589192584543372,0.8112434809168063,0.15000000000020464,1.0499999999998408
MGC,15,MGC,EMA_LONG,5min,2019-01-04 11:16:00-05:00,2019-01-04 13:11:00-05:00,612.9499999999995,614.2499999999994,609.6449294995147,CROSS_EXIT,1.2999999999999545,11.759999999999545,1,True,0.9833375716261264,0.04538481099812362,3.2499999999998863,0.14999999999997726
MGC,16,MGC,EMA_LONG,5min,2019-01-04 13:16:00-05:00,2019-01-04 13:36:00-05:00,615.0499999999994,614.4499999999995,612.6848081899518,CROSS_EXIT,-0.599999999999909,-7.239999999999091,1,False,0.10569967261770825,0.5284983630882529,0.2500000000001137,1.2499999999998863
MGC,17,MGC,EMA_LONG,5min,2019-01-06 19:56:00-05:00,2019-01-07 01:46:00-05:00,615.2499999999994,619.3499999999996,613.7430914219215,CROSS_EXIT,4.100000000000136,39.76000000000136,1,True,4.346647232146266,0.16590256611237572,6.550000000000068,0.2499999999998863
MGC,18,MGC,EMA_LONG,5min,2019-01-07 02:11:00-05:00,2019-01-07 04:37:00-05:00,620.8499999999993,620.4499999999995,618.7967183948563,CROSS_EXIT,-0.3999999999998636,-5.239999999998636,1,False,0.7061866216344568,0.6087815703744095,1.4500000000001592,1.2499999999998863
MGC,19,MGC,EMA_LONG,5min,2019-01-07 04:51:00-05:00,2019-01-07 05:26:00-05:00,621.0499999999994,621.1499999999995,619.67482263594,CROSS_EXIT,0.10000000000013642,-0.23999999999863575,1,False,0.836255766023742,0.25451262444203,1.1499999999999773,0.35000000000002274
MGC,20,MGC,EMA_LONG,5min,2019-01-07 13:31:00-05:00,2019-01-07 13:37:00-05:00,618.6499999999995,617.7499999999994,616.7306619591326,CROSS_EXIT,-0.900000000000091,-10.24000000000091,1,False,0.0,0.3907597223787381,0.0,0.7500000000001137
MGC,21,MGC,EMA_LONG,5min,2019-01-07 13:51:00-05:00,2019-01-07 14:01:00-05:00,618.8499999999993,617.9499999999995,616.6070839289563,CROSS_EXIT,-0.8999999999998636,-10.239999999998636,1,False,0.0,0.33438611889347386,0.0,0.7499999999998863
MGC,22,MGC,EMA_LONG,5min,2019-01-07 20:01:00-05:00,2019-01-07 20:31:00-05:00,619.1499999999995,618.2499999999994,617.9554798718963,CROSS_EXIT,-0.900000000000091,-10.24000000000091,1,False,0.6278671931554587,0.8790140704178325,0.7499999999998863,1.0500000000000682
MGC,23,MGC,EMA_LONG,5min,2019-01-08 01:11:00-05:00,2019-01-08 02:11:00-05:00,613.6499999999995,612.6499999999995,612.1798255684496,CROSS_EXIT,-1.0,-11.24,1,False,0.510143547530749,0.9182583855555028,0.7499999999998863,1.3500000000000227
MGC,24,MGC,EMA_LONG,5min,2019-01-08 03:26:00-05:00,2019-01-08 03:31:00-05:00,613.1499999999995,612.1499999999995,611.0870869276197,CROSS_EXIT,-1.0,-11.24,1,False,0.0,0.5574641100476911,0.0,1.1499999999999773
MGC,25,MGC,EMA_LONG,5min,2019-01-08 03:46:00-05:00,2019-01-08 05:11:00-05:00,612.7499999999994,611.8499999999996,611.4011346766905,CROSS_EXIT,-0.8999999999998636,-10.239999999998636,1,False,0.7042956650923964,0.6301592792932589,0.9499999999999318,0.8500000000000227
MGC,26,MGC,EMA_LONG,5min,2019-01-08 05:58:00-05:00,2019-01-08 06:14:00-05:00,613.3499999999993,612.3499999999996,611.9107734903125,CROSS_EXIT,-0.9999999999997726,-11.239999999997726,1,False,0.0,0.5905950135568019,0.0,0.8499999999997954
MGC,27,MGC,EMA_LONG,5min,2019-01-08 06:28:00-05:00,2019-01-08 06:37:00-05:00,613.0499999999994,612.5499999999994,611.9319451264993,CROSS_EXIT,-0.5,-6.24,1,False,0.0,0.4024847175802646,0.0,0.4499999999999318
MGC,28,MGC,EMA_LONG,5min,2019-01-08 09:51:00-05:00,2019-01-08 14:01:00-05:00,612.0499999999994,614.3499999999996,611.211468875721,CROSS_EXIT,2.300000000000182,21.76000000000182,1,True,5.545411333421688,0.1788842365619637,4.649999999999977,0.14999999999997726
MGC,29,MGC,EMA_LONG,5min,2019-01-08 16:21:00-05:00,2019-01-08 18:46:00-05:00,614.8499999999993,614.4499999999995,613.6999999999994,CROSS_EXIT,-0.3999999999998636,-5.239999999998636,1,False,0.13043478260887617,0.5652173913043392,0.15000000000020464,0.6499999999999773
